id,postcode,SUBZONE_C,PLN_AREA_C,REGION_C
3,89744,OTSZ03,OT,CR
3,88333,OTSZ03,OT,CR
3,88747,OTSZ03,OT,CR
3,89745,OTSZ03,OT,CR
3,88994,OTSZ03,OT,CR
3,88334,OTSZ03,OT,CR
3,88748,OTSZ03,OT,CR
3,88753,OTSZ03,OT,CR
3,89746,OTSZ03,OT,CR
3,88335,OTSZ03,OT,CR
3,88982,OTSZ03,OT,CR
3,88998,OTSZ03,OT,CR
3,88336,OTSZ03,OT,CR
3,88759,OTSZ03,OT,CR
3,89001,OTSZ03,OT,CR
3,89002,OTSZ03,OT,CR
3,89818,OTSZ03,OT,CR
3,89855,OTSZ03,OT,CR
3,89003,OTSZ03,OT,CR
3,89004,OTSZ03,OT,CR
3,89748,OTSZ03,OT,CR
3,89005,OTSZ03,OT,CR
3,89006,OTSZ03,OT,CR
3,89819,OTSZ03,OT,CR
3,88983,OTSZ03,OT,CR
3,88323,OTSZ03,OT,CR
3,89008,OTSZ03,OT,CR
3,89753,OTSZ03,OT,CR
3,89754,OTSZ03,OT,CR
3,88830,OTSZ03,OT,CR
3,89820,OTSZ03,OT,CR
3,88832,OTSZ03,OT,CR
3,88833,OTSZ03,OT,CR
3,89758,OTSZ03,OT,CR
3,88835,OTSZ03,OT,CR
3,88836,OTSZ03,OT,CR
3,89821,OTSZ03,OT,CR
3,88984,OTSZ03,OT,CR
3,88837,OTSZ03,OT,CR
3,88838,OTSZ03,OT,CR
3,88839,OTSZ03,OT,CR
3,88840,OTSZ03,OT,CR
3,88841,OTSZ03,OT,CR
3,89822,OTSZ03,OT,CR
3,88842,OTSZ03,OT,CR
3,88843,OTSZ03,OT,CR
3,88844,OTSZ03,OT,CR
3,88985,OTSZ03,OT,CR
3,88325,OTSZ03,OT,CR
3,88851,OTSZ03,OT,CR
3,51335,OTSZ03,OT,CR
3,52335,OTSZ03,OT,CR
3,58455,OTSZ03,OT,CR
3,59490,OTSZ03,OT,CR
3,58464,OTSZ03,OT,CR
3,58328,OTSZ03,OT,CR
3,59491,OTSZ03,OT,CR
3,58560,OTSZ03,OT,CR
3,58465,OTSZ03,OT,CR
3,59492,OTSZ03,OT,CR
3,59014,OTSZ03,OT,CR
3,58926,OTSZ03,OT,CR
3,58329,OTSZ03,OT,CR
3,59493,OTSZ03,OT,CR
3,58467,OTSZ03,OT,CR
3,59015,OTSZ03,OT,CR
3,58330,OTSZ03,OT,CR
3,58562,OTSZ03,OT,CR
3,58469,OTSZ03,OT,CR
3,59016,OTSZ03,OT,CR
3,58930,OTSZ03,OT,CR
3,58470,OTSZ03,OT,CR
3,58331,OTSZ03,OT,CR
3,58563,OTSZ03,OT,CR
3,58471,OTSZ03,OT,CR
3,59017,OTSZ03,OT,CR
3,58332,OTSZ03,OT,CR
3,58564,OTSZ03,OT,CR
3,59483,OTSZ03,OT,CR
3,58917,OTSZ03,OT,CR
3,58456,OTSZ03,OT,CR
3,59500,OTSZ03,OT,CR
3,58934,OTSZ03,OT,CR
3,58565,OTSZ03,OT,CR
3,58333,OTSZ03,OT,CR
3,58749,OTSZ03,OT,CR
3,58751,OTSZ03,OT,CR
3,59429,OTSZ03,OT,CR
3,58753,OTSZ03,OT,CR
3,59430,OTSZ03,OT,CR
3,59431,OTSZ03,OT,CR
3,58757,OTSZ03,OT,CR
3,58566,OTSZ03,OT,CR
3,58759,OTSZ03,OT,CR
3,58763,OTSZ03,OT,CR
3,59502,OTSZ03,OT,CR
3,59019,OTSZ03,OT,CR
3,58936,OTSZ03,OT,CR
3,58567,OTSZ03,OT,CR
3,58334,OTSZ03,OT,CR
3,58775,OTSZ03,OT,CR
3,59433,OTSZ03,OT,CR
3,58777,OTSZ03,OT,CR
3,59434,OTSZ03,OT,CR
3,58568,OTSZ03,OT,CR
3,58779,OTSZ03,OT,CR
3,59435,OTSZ03,OT,CR
3,58781,OTSZ03,OT,CR
3,59441,OTSZ03,OT,CR
3,59436,OTSZ03,OT,CR
3,59437,OTSZ03,OT,CR
3,59438,OTSZ03,OT,CR
3,59504,OTSZ03,OT,CR
3,59186,OTSZ03,OT,CR
3,59020,OTSZ03,OT,CR
3,58938,OTSZ03,OT,CR
3,58569,OTSZ03,OT,CR
